word,frequency,happiness_score
lesson,1,5.3
connecticut,1,5.56
piece,1,5.26
celebration,1,8.02
sheep,1,6.14
send,1,5.38
ruin,1,2.68
nice,1,7.38
writers,1,6.32
inspired,1,7.36
jeff,1,5.2
al,1,4.9
phone,1,6.44
camera,1,6.8
orders,1,4.24
sharing,1,7.06
haters,1,2.48
adults,1,6.06
army,1,4.48
gifts,1,7.56
carry,1,5.2
helping,1,7.18
works,1,5.5
research,1,6.46
albany,1,5.08
yay,1,6.1
sure,1,6.32
lie,1,2.6
agency,1,5.26
mess,1,3.94
increasingly,1,6.1
founder,1,5.88
olive,1,6.0
dick,1,4.62
latin,1,5.38
prepare,1,5.66
virginia,1,6.28
sunday,1,7.28
reaches,1,5.96
youtube,1,6.92
restaurants,1,6.62
suggestions,1,6.08
play,1,7.26
added,1,5.78
jennifer,1,5.86
weeks,1,5.06
forecast,1,5.92
filled,1,5.52
fever,1,2.78
disappeared,1,3.44
doctor,1,5.34
nyu,1,5.06
trustee,1,5.68
trouble,1,2.78
primary,1,5.88
signals,1,5.42
cities,1,5.58
largest,1,6.34
earn,1,7.5
visit,1,6.54
faith,1,7.08
reality,1,5.94
sophisticated,1,6.02
wedding,1,7.34
legislators,1,4.2
eyes,1,6.24
fresh,1,7.26
claims,1,4.72
fox,1,5.46
gaga,1,5.68
lady,1,6.6
rihanna,1,5.34
fight,1,2.7
neck,1,5.3
flag,1,6.26
flies,1,3.6
voters,1,5.58
victim,1,2.38
domestic,1,5.46
including,1,5.96
private,1,5.92
ownership,1,6.38
cats,1,6.54
allowed,1,5.96
memphis,1,5.42
summer,1,6.4
include,1,5.94
recession,1,2.48
strong,1,7.06
infection,1,2.84
cookie,1,7.1
james,1,5.28
fails,1,2.06
add,1,5.9
mets,1,5.14
visitors,1,6.32
counts,1,5.3
terror,1,1.76
grants,1,6.7
solve,1,6.58
father,1,7.06
common,1,4.92
pet,1,7.08
march,1,5.78
taught,1,5.96
farm,1,6.22
executives,1,5.0
answer,1,6.24
indirect,1,4.65
obama,1,5.94
troubles,1,3.42
tweets,1,5.42
playlist,1,6.18
immigration,1,5.2
dispute,1,3.54
salary,1,7.22
projects,1,5.46
raising,1,6.26
losses,1,2.46
potato,1,6.54
evil,1,1.9
message,1,6.08
bacon,1,5.96
thighs,1,5.58
breast,1,6.22
fries,1,6.52
talk,1,6.06
tells,1,5.32
religion,1,6.0
profit,1,7.66
sold,1,5.36
bleeding,1,2.76
bleed,1,2.69
gods,1,6.26
pas,1,5.12
bears,1,5.58
bankers,1,4.8
population,1,5.16
vote,1,5.8
medal,1,6.78
gold,1,7.56
till,1,5.22
fantasy,1,7.44
origin,1,5.63
girls,1,6.94
weighted,1,5.0
enemies,1,2.44
recognition,1,6.54
garden,1,7.22
madison,1,5.48
pasta,1,6.86
warm,1,6.72
joe,1,5.22
simply,1,6.42
witness,1,4.82
told,1,5.08
vegan,1,4.82
journey,1,7.14
wagner,1,5.44
carter,1,5.34
director,1,5.8
mike,1,5.3
feast,1,7.49
amsterdam,1,6.14
lawyer,1,3.84
plants,1,7.1
operations,1,4.36
foods,1,7.26
barry,1,5.18
affected,1,4.3
roughly,1,4.0
used,1,4.6
shelter,1,6.54
fiction,1,6.16
weary,1,4.08
expand,1,6.04
votes,1,6.08
kick,1,3.72
intervention,1,4.26
divine,1,7.26
feeds,1,6.2
rest,1,7.18
crimes,1,2.14
hug,1,7.58
senators,1,4.54
prize,1,7.62
tiene,1,5.06
bust,1,4.56
bonus,1,7.68
international,1,6.56
adam,1,5.54
