word,count,happs_score,stddev
successful,2,8.16,1.0759
credit,2,5.86,1.6661
senior,2,5.64,1.2081
truck,3,5.48,1.555
angry,1,2.32,1.2362
organ,2,5.46,1.6563
world,5,6.52,1.6567
questioned,1,4.24,1.2707
right,3,6.54,1.2651
road,1,5.86,1.0882
israelis,2,5.14,1.3554
hotel,6,6.16,1.5954
polish,1,6.16,1.3903
limits,3,4.0,1.1952
demonstration,1,5.88,1.2185
liberal,1,5.8,2.1665
interference,1,4.71,1.7321
files,3,5.38,1.427
malcolm,1,5.4,1.0102
australia,5,6.4,1.5908
contest,1,5.78,1.4039
identity,1,5.98,1.1156
investigating,1,4.84,1.1669
climbing,1,6.04,1.3838
christian,2,6.3,1.6444
sinai,1,4.76,1.1528
water,3,6.7,1.2164
app,1,5.2,1.4286
palestinians,3,4.5,1.1995
enter,1,5.84,1.2835
stake,2,5.02,1.1865
french,7,5.96,1.5381
officer,1,5.22,1.6449
including,2,5.96,0.9026
attorney,1,4.12,1.3037
worker,1,5.56,1.6308
wins,3,7.44,1.2643
treatment,2,4.42,1.5398
sara,1,5.52,1.764
shop,1,6.76,1.0412
lesson,1,5.3,1.488
senate,1,4.7,1.4178
passes,1,5.44,1.4868
legal,2,5.18,1.746
beijing,2,5.24,1.685
tries,1,5.58,1.2631
whip,1,3.3,1.7409
support,2,6.44,1.4309
investment,1,5.82,1.8148
sails,2,6.38,1.3834
arsenal,1,4.18,1.8371
colonel,1,4.96,1.6031
focus,1,6.12,1.0622
shut,3,3.56,1.0333
shake,1,5.14,1.1954
european,2,5.94,1.1678
stadium,1,5.96,1.5774
prosecutor,3,4.06,1.6587
preacher,1,5.28,2.1193
involving,1,5.6,1.3401
track,3,5.14,1.143
stars,1,7.1,1.5419
decades,1,4.84,1.3756
later,1,4.6,1.3553
public,1,5.18,1.3656
hand,1,5.9,1.0738
governing,1,5.0,1.5779
plane,4,6.3,1.632
presents,1,7.2,1.4569
revised,1,5.27,1.3961
territory,1,5.12,1.1891
challenges,1,5.74,1.4957
operation,1,3.72,1.6041
teen,1,5.92,1.9361
restaurant,1,7.06,1.2521
tells,3,5.32,1.2688
cnn,2,5.18,1.4525
oppose,1,3.82,1.4384
committed,1,6.38,1.4126
trump,27,5.3,1.7053
japan,4,6.0,1.3093
discussing,4,5.76,1.7209
prince,4,6.44,1.3426
harry,1,5.24,1.2545
regrets,1,3.08,1.5232
interior,1,5.8,0.8806
visits,3,6.4,1.2936
york,2,5.62,1.1761
maintain,1,5.76,1.0412
union,2,6.04,1.3991
francis,1,5.32,1.4348
mideast,1,4.82,1.5609
collapse,1,2.9,1.4463
safety,2,6.18,1.7343
fears,2,2.68,1.2688
discussed,3,5.56,1.4591
violations,1,2.86,1.4287
hours,1,5.22,1.0359
protesters,1,3.8,1.6903
job,1,5.96,1.7257
investigators,1,4.96,1.6157
search,3,5.44,1.1808
educated,1,7.29,1.307
residents,1,5.66,1.2715
