headline,pub_date
The Cayman Islands reduces the sentence of a U.S. college student who broke quarantine.,2020-12-22 22:00:25
They Helped France Fight the Virus. Now France Is Fast-Tracking Their Citizenship.,2020-12-22 21:35:12
Key West is facing a legal challenge to its 10 p.m. New Year’s weekend curfew.,2020-12-22 20:13:21
A study finds that pulse oximeters are less reliable when used on Black patients.,2020-12-22 19:22:00
"Tennessee is ‘ground zero’ in the nation’s virus surge, and Christmas could make it worse, the governor warns.",2020-12-22 18:59:55
Spain approves legislation bringing some rent relief to stricken bars and restaurants.,2020-12-22 18:51:03
Can Travel Bans Really Stop the Spread of Coronavirus Variants? Experts Are Skeptical,2020-12-22 18:28:23
France and Britain Strike Deal to Reopen Border for Freight and Some Travel,2020-12-22 18:02:35
California hospitals face twin crises of capacity and ‘moral distress.’,2020-12-22 17:27:26
"Kashmir Votes, and India Hails It as Normalcy in a Dominated Region",2020-12-22 17:17:53
"With first positive tests in Antarctica, no continent is untouched by the virus.",2020-12-22 17:04:05
Poor Maintenance and Construction Flaws Are Cited in Italy Bridge Collapse,2020-12-22 16:35:45
"Israeli Government Collapses, Forcing 4th Election in 2 Years",2020-12-22 15:30:51
France fast-tracks citizenship for frontline workers.,2020-12-22 15:08:21
Norway’s Supreme Court Makes Way for More Arctic Drilling,2020-12-22 14:59:03
Congress passes a $900 billion pandemic relief bill.,2020-12-22 12:26:50
Sentence Is Cut for U.S. Student Who Broke Quarantine,2020-12-22 12:24:22
South Korea is struggling under the strain of a severe outbreak.,2020-12-22 12:13:49
"The virus hits federal death row, prompting calls for delays in executions.",2020-12-22 12:12:03
"For Europe, it’s wave after wave.",2020-12-22 11:53:14
‘Each Day Is Critical’: South Korea’s 11th-Hour Battle With Covid,2020-12-22 11:28:32
What we know about the new British variant.,2020-12-22 10:18:31
Young and unemployed service-industry workers face bleak prospects.,2020-12-22 10:18:26
"Mexico misled the public about an outbreak in the capital, a Times investigation finds.",2020-12-22 10:18:01
Taiwan records its first locally transmitted case since April.,2020-12-22 10:17:44
France begins to allow some travel from the U.K. as the E.U. urges countries to lift bans.,2020-12-22 10:17:08
"For Europe, It’s Wave After Wave",2020-12-22 10:00:04
"After Bars and Beaches, Gibbons Await a New Home in Thailand",2020-12-22 05:13:15
Number of Journalists Killed for Their Reporting Doubled in 2020,2020-12-22 05:02:06
"A Hong Kong Activist, Nathan Law, Seeks Political Asylum in Britain",2020-12-22 01:28:50
California builds field hospitals and considers rationing care as virus spreads unabated.,2020-12-22 00:46:11
A Florida scientist has sued state law enforcement in an ongoing battle over Covid-19 data.,2020-12-21 23:49:50
The Vatican says it is ‘morally acceptable’ to get a vaccine tied to fetal tissue.,2020-12-21 23:41:38
"For U.K., an Early Taste of Brexit as Borders Are Sealed",2020-12-21 23:22:29
Governors impose new restrictions on travelers from Britain as holiday travel ratchets up.,2020-12-21 22:36:28
"As the world tries to contain a new strain of the virus, questions arise about how far it has already spread.",2020-12-21 21:40:27
Ontario announces sweeping new restrictions ahead of Boxing Day.,2020-12-21 21:24:19
Navalny Says Russian Agent Confessed to Plot to Poison Him,2020-12-21 20:59:46
The arrival of the Moderna vaccine brings hope to rural areas.,2020-12-21 20:20:46
Armed protesters angry over virus restrictions try to force their way into the Oregon Statehouse.,2020-12-21 18:55:23
German airports scrambled Sunday to detain passengers from Britain.,2020-12-21 18:45:29
Israel will close its skies to foreign nationals and require Israeli travelers to quarantine.,2020-12-21 18:21:40
Concerns About Coronavirus Variant Cut Off U.K. From Europe,2020-12-21 17:29:56
House Democrats investigating political meddling in virus response issue subpoenas for Azar and Redfield.,2020-12-21 16:15:31
2 People-Smugglers Are Convicted of Manslaughter in U.K. Truck Deaths,2020-12-21 16:08:01
"Millions are traveling in the U.S., despite warnings.",2020-12-21 15:25:27
Mexico Misled Citizens About the Severity of Coronavirus in Its Capital,2020-12-21 15:10:20
‘The Whole City Was Dark’: China Rations Electricity for Millions,2020-12-21 14:08:26
"In a locked-down Germany, animal advocates worry that city pigeons will starve.",2020-12-21 13:38:28
Hong Kong police arrest a coronavirus patient who fled the hospital.,2020-12-21 12:06:32
Doctors in Kenya go on strike as virus cases rise.,2020-12-21 11:21:58
German White Supremacist Is Sentenced to Life for Synagogue Attack,2020-12-21 11:13:48
A Brazen Police Shooting Caught on Video Sparks Anger in the Philippines,2020-12-21 10:12:09
"China aims to vaccinate 50 million people by mid-February, and other news from around the world.",2020-12-21 10:07:52
"In Afghanistan, a place mired in war, the virus is an afterthought.",2020-12-21 10:06:02
More nations close their doors to Britain as alarm grows over virus variant.,2020-12-21 10:02:02
China Long Avoided Discussing Mental Health. The Pandemic Changed That.,2020-12-21 10:00:39
Moderna’s vaccine rolls out in the U.S.,2020-12-21 09:58:37
"E.U. regulators approve the Pfizer-BioNTech vaccine, clearing the way for distribution.",2020-12-21 09:57:03
"After striking a stimulus deal, Congress faces yet another midnight deadline to approve it.",2020-12-21 09:56:31
"E.U. Approves Pfizer Vaccine, Setting Stage for High-Stakes Rollout",2020-12-21 07:26:33
She Called Police Over a Neo-Nazi Threat. But the Neo-Nazis Were Inside the Police.,2020-12-21 05:01:11
"As vaccines arrive in the U.S., health care workers warn of P.P.E. shortages.",2020-12-21 03:35:36
A C.D.C. panel says frontline workers and people over 74 should get vaccines next.,2020-12-20 22:07:17
"Thailand announces its biggest outbreak to date, linked to a shrimp market.",2020-12-20 19:37:22
The official leading Operation Warp Speed pins the blame for vaccine shortfalls on an administrative error.,2020-12-20 19:18:29
"‘Covid Can’t Compete.’ In a Place Mired in War, the Virus Is an Afterthought.",2020-12-20 18:14:32
"Brinkmanship or Bluster? On Brexit and Pandemic, Boris Johnson Leaves It Late",2020-12-20 17:19:01
Countries begin barring travelers from the U.K. over concerns of a new coronavirus variant.,2020-12-20 15:46:09
"In New York and beyond, interest groups lobby furiously to get their workers vaccinated early.",2020-12-20 15:04:23
New York City vaccinated six million people in less than a month. In 1947.,2020-12-20 15:04:23
"Scientists urge calm about coronavirus mutations, which are not unexpected.",2020-12-20 15:04:23
"As Christmas approaches, virus experts look for lessons from Thanksgiving.",2020-12-20 15:04:22
A Covid-19 surge and conspiracy theories roil Pakistan.,2020-12-20 15:04:21
"‘I Miss Home’: In Tigray Conflict, Displaced Children Suffer",2020-12-20 14:15:24
Nepal Falls Into Political Turmoil. China and India Are Watching.,2020-12-20 14:12:34
A Company Made P.P.E. for the World. Now Its Workers Have the Virus.,2020-12-20 10:04:32
Netanyahu becomes the first Israeli to be inoculated against Covid-19.,2020-12-20 03:21:55
"As vaccines arrive, the virus continues to ravage the U.S. and Europe.",2020-12-20 00:29:35
"A Minnesota state senator, one of several who contracted the coronavirus after local Republican meetings, has died.",2020-12-20 00:26:35
The C.D.C. advisory panel has endorsed the Moderna vaccine.,2020-12-19 21:33:42
Thousands of internal documents reveal how China censored its internet in the early days of the pandemic.,2020-12-19 19:37:01
The head of Operation Warp Speed apologizes for shortfalls in vaccine deliveries to at least 14 states.,2020-12-19 18:40:57
"With Trump Fading, Ukraine’s President Looks to a Reset With the U.S.",2020-12-19 17:54:31
"Congress, grasping for a stimulus deal, resolves a dispute over the Federal Reserve’s power.",2020-12-19 17:01:39
