word,count,happs_score,stddev
key,12,5.82,1.0631
draft,5,5.02,1.4068
culture,3,6.72,1.8075
active,3,6.82,1.7692
program,4,5.68,1.2196
yields,1,6.2,1.4286
dividends,1,6.14,1.552
core,2,5.38,1.0859
conflicts,3,2.96,1.4563
accused,7,2.92,1.5497
look,4,5.54,1.1287
tension,2,2.94,1.5832
happened,3,5.02,1.1865
wonders,1,6.78,1.8876
long,8,4.74,1.6637
solution,8,6.84,1.3756
david,1,5.5,1.1473
choice,1,6.24,1.318
hostile,2,3.02,1.9737
cure,2,7.14,1.512
dam,2,4.84,1.2349
tests,5,4.28,1.6787
apparently,1,5.54,1.1104
expert,2,6.64,1.3211
donald,1,5.48,1.2493
trained,1,5.86,1.4984
ranks,1,5.42,1.6793
reminds,1,5.4,1.1952
boss,2,4.18,1.5868
leaving,1,3.58,1.2792
dozen,2,5.46,1.1104
violent,3,2.06,1.3463
study,7,6.12,1.6243
policies,1,5.12,1.6368
license,1,5.56,1.3426
cow,2,5.82,1.4665
