headline,happs_score
South Korean Leader Said Coronavirus Would ‘Disappear.’ It Was a Costly Error.,5.455
A Police State With an Islamist Twist: Inside Hifter’s Libya,5.176666666666667
U.S. Designates China’s Official Media as Operatives of the Communist State,5.105714285714286
"Ghani Named Afghan Election Winner. His Opponent Claims Victory, Too.",4.9879999999999995
"‘The West Is Winning,’ Pompeo Said. The West Wasn’t Buying It.",5.5840000000000005
"In Australia’s Most Populous State, ‘All Fires Are Contained’",5.285
"Taliban Militant Flees Prison, Claiming Deal With Pakistani Security Forces",5.58
Al Qaeda Claims It Directed Florida Naval Base Shooting,4.985
State Department Warns Against Traveling to China Amid Coronavirus Outbreak,5.168571428571428
"Deaths Surpass 200, and State Department Urges Against Travel to China",4.795
"In India, Protesters and Modi Tussle Over Who Can Claim Gandhi",5.028571428571429
Trump Plan’s First Result: Israel Will Claim Sovereignty Over Part of West Bank,5.483636363636363
"Trump, in Davos to Talk Trade, Lashes Out at Enemies Back Home",5.1025
Ukraine’s President Said He’d Fight Corruption. Resistance Is Fierce.,4.7
Harry and Meghan Give Up Royal Titles and Forgo State Funding,5.6274999999999995
British Police Said Watch Out for Extremists — Like Climate Activists,5.5225
Bomb Blast Claimed by ISIS Kills at Least 15 in Pakistan Mosque Used by Taliban,4.205454545454545
"Venezuela’s Maduro Claims Control of National Assembly, Tightening Grip on Power",5.532857142857142
"Venezuela’s Maduro Claims Control of National Assembly, Consolidating Grip on Power",5.532857142857142
Killing of Iranian Commander Is Met With Criticism and Tough Talk,4.652727272727272
Samoa Lifts State of Emergency After Deadly Measles Epidemic,4.252000000000001
Malta Murder Investigation Closes In on ‘Mafia State’,4.14
U.N. Peacekeepers in Haiti Said to Have Fathered Hundreds of Children,5.47
Why the State Dept. Has Largely Been Muted on India’s Moves Against Muslims,5.036
Taliban Attack U.S. Base in Afghanistan as Negotiators Talk Peace,5.1000000000000005
Claims of China’s Meddling Roil Taiwan Ahead of Elections,5.086666666666667
"In Syria, Health Workers Risk Becoming ‘Enemies of the State’",5.408571428571428
"Iran Declares Protests Are Over, but the Evidence Suggests Otherwise",4.8725000000000005
"In Strike That Killed 5 Children, Israel Said It Took Out Gaza Militant. Now It Isn’t Sure.",4.656666666666667
Experts Divided on Authenticity of Islamic State Receipts,5.180000000000001
China Vows Tougher Security in Hong Kong. Easier Said Than Done.,5.648571428571429
Jacob Rees-Mogg Suggests Grenfell Victims Lacked ‘Common Sense’,4.3933333333333335
Turkey Captures Sister of Islamic State Chief Killed in Raid,5.13
Forger Claims Credit for Paintings in Prince Charles’s Charity Headquarters,5.805
Mali Says 54 Are Killed in Jihadist Attack on Army; ISIS Claims Responsibility,4.49
"White House Freezes Military Aid to Lebanon, Against Wishes of Congress, State Dept. and Pentagon",5.425454545454546
Australia Proposes Face Scans for Watching Online Pornography,6.0600000000000005
"Watching the Raid Was Like a Movie, the President Said. Except There Was No Live Audio.",5.286666666666666
Turkish and Kurdish Forces Said to Clash in Syria,5.136666666666667
Trump Said to Favor Leaving a Few Hundred Troops in Eastern Syria,5.201818181818182
"Under New Rule, Chinese Diplomats Must Notify State Dept. of Meetings in U.S.",5.293333333333333
Tunisia Polls Suggest Conservative Professor Wins Election,5.69
Poland’s State Media Is Government’s Biggest Booster Before Election,5.3933333333333335
They Run the World’s Biggest Countries. Their Talk Won’t Be Easy.,5.568571428571429
Iran State Media Say Oil Tanker Is Hit but Offer Conflicting Accounts on Cause,5.165
Ecuador Declares State of Emergency as Striking Workers Block Roads,4.85
El Chapo Said to Have Given $1 Million to Honduran President’s Brother,5.7875
Putin Says He Doesn’t Mind if Private Talk With Trump Is Made Public,5.52
Both Afghan Candidates Claim the Lead Even Before Votes Are Tallied,5.493333333333333
Australia’s Most Populous State Decriminalizes Abortion,4.7
North Korean Envoy Hails Bolton’s Ouster and Trump’s Talk of a New Approach,5.6525
A Revolution in Brittany: Mayors Defy French State to Ban Pesticides,4.994285714285715
"In Blow to Taiwan, Solomon Islands Is Said to Switch Relations to China",5.351666666666667
How Jewish Should the Jewish State Be? The Question Shadows an Israeli Vote,5.180000000000001
