word,count,happs_score,stddev
effort,3,5.86,1.6289
san,1,5.02,0.5887
bag,1,5.64,1.0645
cash,1,7.42,1.6671
rape,6,1.44,0.7866
attorney,2,4.12,1.3037
general,7,5.32,1.1328
familiar,1,6.44,1.2643
came,4,5.42,1.4155
protect,1,6.8,1.4142
proved,1,6.26,1.9358
continuing,1,5.76,1.2216
killings,3,1.8,1.5386
future,4,6.76,1.4223
prison,5,2.06,1.4765
life,2,7.32,1.6956
chaos,1,3.46,1.7867
airport,2,5.88,1.8477
virtually,1,5.6,1.0498
tuesday,1,4.98,1.0593
jane,1,5.5,0.9742
wants,2,5.38,1.3231
fans,1,7.02,1.2534
expected,2,5.74,1.1214
today,2,6.22,1.4469
news,11,5.6,1.5518
financial,3,5.42,1.7853
strain,2,3.73,1.8071
pope,7,5.6,1.5649
lady,2,6.6,1.4569
gentleman,1,6.96,1.7254
nurses,1,6.1,1.9175
french,6,5.96,1.5381
university,3,6.74,1.3822
director,3,5.8,1.4846
india,14,6.42,1.9804
rebels,3,4.24,1.5059
executed,1,3.94,2.2023
dozens,11,5.7,1.2817
suggest,4,5.52,1.2329
fast,4,6.44,1.2316
moving,1,5.36,1.495
visiting,3,6.6,1.2122
known,2,5.8,1.3851
military,31,4.78,1.753
truck,1,5.48,1.555
spreading,1,5.96,1.3064
twice,1,5.6,1.1429
delta,2,5.36,1.0451
correspondent,1,5.3,1.165
held,6,5.28,1.2784
violence,13,1.86,1.05
women,5,7.12,1.4658
largest,6,6.34,1.3793
kill,6,1.56,1.0529
recent,3,5.56,1.1095
seek,2,5.72,1.1613
compensation,1,6.52,1.6932
puts,4,5.1,0.6468
spotlight,2,6.35,1.3401
opened,1,6.0,1.2289
response,3,5.68,1.2688
thousands,7,6.14,1.0692
parliamentary,1,5.24,1.5851
saved,2,6.88,1.507
older,1,4.74,1.7821
disabled,1,2.82,1.1899
abused,3,1.83,1.3101
estimates,1,5.32,1.1147
islands,1,6.58,1.9493
lowest,1,3.3,1.165
counts,2,5.3,1.1473
starts,2,5.96,1.1945
province,2,5.38,1.4831
missile,9,3.24,1.8905
arms,6,5.38,0.9875
likely,5,6.44,1.2149
die,1,1.74,1.192
said,6,5.38,0.901
immediate,3,5.6,1.666
damage,3,2.58,1.4995
gains,7,6.82,1.4803
pushed,2,4.1,1.4743
gate,1,5.18,1.1008
roller,1,5.48,1.2656
riders,1,5.62,1.4236
bones,1,5.18,1.7343
chief,7,6.18,1.1551
monitoring,1,5.06,1.2521
tokyo,3,5.76,1.5328
olympic,3,6.28,1.5654
searching,1,5.04,1.3395
worked,2,5.44,1.58
intelligence,11,7.3,1.1995
warned,2,3.52,1.313
collapse,2,2.9,1.4463
begins,2,5.94,1.1502
august,1,5.98,1.4356
singapore,2,5.98,1.7899
count,2,5.5,1.0546
wide,1,5.46,1.328
bird,1,6.64,1.5487
flu,1,2.4,1.1249
egypt,4,6.26,1.1572
july,1,5.98,1.6962
disease,2,2.0,1.3093
hunger,3,3.37,1.9968
strike,14,3.96,1.3547
points,4,6.04,1.4702
