word,count,happs_score,stddev,2015,2016,2017,2018,2019
backs,8,5.34,1.4373,1,,2,,
tactics,4,5.3,1.5811,1,1,,,1
military,49,4.78,1.753,3,4,4,2,5
government,20,4.64,1.6383,3,1,1,,2
changes,3,5.06,1.3157,1,1,,,1
law,5,4.9,1.5551,1,1,,1,
expenses,1,3.32,1.3468,1,,,,
investigation,7,4.02,1.4776,2,,,,2
assembly,2,5.6,1.088,1,,,,
armed,3,3.84,1.8556,1,,,,
conflict,6,3.1,1.5286,1,,,1,
administration,4,4.84,1.5696,1,,,1,
congress,3,4.34,1.7567,1,,,,
victims,2,2.32,1.5043,1,,,,
virus,32,2.08,1.3377,1,2,,,
forced,7,3.16,1.2675,1,,2,,
african,4,5.66,1.7567,1,1,,,
countries,8,5.68,0.9781,3,1,1,1,
urged,6,4.54,1.2969,2,2,,,
russian,94,5.52,1.7052,2,1,,5,7
weapon,1,3.36,1.663,1,,,,
greatly,1,6.86,1.3403,1,,,,
treaty,5,6.22,1.3293,3,1,,1,
fewer,3,3.72,1.1256,1,2,,,
hungry,1,3.38,1.9261,1,,,,
people,13,6.16,1.5826,1,1,,,1
jimmy,3,5.36,1.1205,1,2,,,
workers,16,5.78,1.183,3,,,,3
patients,4,3.66,1.4086,1,,1,,
incident,2,4.02,1.3923,1,,,,
years,10,5.28,1.4714,2,1,2,,2
links,2,5.6,1.1606,1,1,,,
needs,7,4.98,1.5185,1,,,3,
reforms,1,5.7,1.5286,1,,,,
wake,1,4.72,1.6542,1,,,,
officials,53,4.76,1.3637,2,3,2,2,2
drop,3,4.3,1.1995,2,,,,
preliminary,1,5.26,1.1031,1,,,,
flight,6,6.06,1.834,1,3,,1,
korean,10,5.48,1.4741,1,1,1,4,2
student,2,6.58,1.2469,2,,,,
brazil,10,6.1,1.359,1,2,2,,
dutch,5,5.62,1.1761,1,1,1,,
united,6,7.32,1.2027,1,3,,,
internal,3,5.2,1.3093,2,,,,
man,10,5.9,1.4033,1,3,2,1,2
flying,1,6.24,1.6483,1,,,,
japanese,2,6.02,1.5713,2,,,,
air,10,6.8,1.6537,1,1,,,1
saddam,2,2.48,1.568,1,,,,
hussein,2,3.62,1.8724,1,,,,
aide,5,5.56,1.4165,1,,,1,
northern,6,5.22,1.3293,2,1,,,
fight,12,2.7,1.7409,2,,1,1,1
washington,11,6.04,1.2115,3,,1,,
post,3,5.48,1.0925,1,,,,
writer,1,5.96,1.5381,1,,,,
seen,4,5.4,1.1952,1,,,,
trial,6,3.96,1.6898,1,,,,1
ran,1,5.5,1.4604,1,,,,
oil,21,4.88,1.6368,3,1,1,2,4
giant,2,5.34,1.1886,1,,,,
court,21,3.78,1.799,3,3,,1,5
nato,14,4.92,1.7004,1,,1,,1
caps,1,5.36,1.0254,1,,,,
size,2,5.04,0.9681,1,,,,
mission,3,5.68,1.3468,1,,,,
starts,5,5.96,1.1945,1,,1,1,
drive,2,6.08,1.5232,1,,,,
scale,1,4.88,1.3037,1,,,,
differ,1,4.58,1.3415,1,,,,
german,17,5.34,1.394,1,3,2,,1
ships,1,5.96,1.0093,1,,,,
britain,12,5.78,1.8767,4,1,1,1,
ensure,1,6.12,1.3649,1,,,,
taking,2,5.32,1.3005,1,,,,
lawsuit,7,2.96,1.6157,1,1,1,1,
west,9,5.68,1.3468,1,,,,
bank,6,5.92,1.6268,1,,,,
doubts,3,3.3,1.4321,1,,,1,
video,10,6.48,1.111,3,1,,1,
final,5,5.02,1.7319,1,,,,1
moments,1,6.1,1.1112,1,,,,
deep,3,5.74,1.3969,1,,,,
depression,1,1.98,1.5583,1,,,,
civilians,16,5.64,1.1386,1,2,1,,4
share,1,6.78,1.4039,1,,,,
rumors,2,4.08,1.9455,1,,,,
online,4,6.72,1.2784,2,1,,,1
lowest,2,3.3,1.165,1,,,,
weekly,1,5.3,1.594,1,,,,
total,2,5.78,0.9538,1,,,,
weeks,4,5.06,1.0768,1,,,,
aid,18,6.24,1.3637,2,2,1,1,2
relief,5,6.86,1.6037,1,,1,,
vast,3,5.64,1.5354,1,,2,,
damage,6,2.58,1.4995,1,1,,1,
mexican,10,5.4,1.5253,1,2,2,3,
fired,2,2.3,1.5682,1,,,1,
lady,4,6.6,1.4569,1,,1,,
failed,7,1.84,0.9971,1,,,1,
address,3,5.6,1.0498,1,,,,
sign,6,5.66,1.2875,1,,,,
distress,1,2.7,1.4178,1,,,,
deaths,20,1.64,1.1386,3,3,,1,2
figures,2,5.86,1.1782,1,,,,
early,9,5.66,1.239,1,,,1,
memo,4,4.88,1.1542,2,2,,,
dropped,1,3.88,1.0029,1,,,,
despite,20,4.48,1.3438,1,4,1,1,
views,1,5.92,1.0069,1,,,,
enters,2,6.1,1.2817,1,,,,
europe,3,6.4,1.7613,1,,,,
civilian,7,5.64,1.5354,2,,,,1
rose,1,7.32,1.463,1,,,,
radio,2,6.58,1.6047,1,,,,
free,4,7.96,1.261,1,,1,1,1
asia,4,6.22,1.9513,1,1,,,1
delays,2,3.44,1.1457,1,,,,
release,7,6.1,1.233,2,,,,
possible,6,6.24,1.598,1,,,,
bias,1,4.31,1.7278,1,,,,
coverage,4,5.66,1.3188,1,,,,
killings,7,1.8,1.5386,1,2,1,,
sentences,5,5.59,1.632,1,3,,1,
agreement,1,6.32,1.2196,1,,,,
deal,9,6.32,1.0774,1,1,2,1,
facing,4,5.26,1.1031,1,,,1,1
town,9,5.88,1.5338,1,2,,,
concerned,2,4.22,1.6573,1,,,,
food,3,7.44,1.2149,1,1,,,
hands,1,6.0,1.4846,1,,,,
party,14,7.58,1.4581,1,2,6,1,
brazilian,2,6.06,1.4486,1,,1,,
author,1,5.98,1.3923,1,,,,
light,4,6.4,1.5119,1,,1,,
mayor,5,5.26,1.3063,2,,,,
plans,13,6.2,1.0102,1,2,,2,
sue,5,4.3,2.1595,1,,1,,
value,1,6.36,1.2415,1,,,,
brutal,1,2.6,2.08,1,,,,
bird,3,6.64,1.5487,2,,,,
flu,3,2.4,1.1249,2,,,,
humans,1,6.76,1.4507,1,,,,
regions,3,5.54,1.1104,1,,,,
soviet,1,4.64,1.3365,1,,,,
freedom,5,7.9,1.4178,1,1,1,,
election,22,5.18,1.3506,1,2,4,,3
bodies,4,4.68,1.6218,2,,,,
discovered,1,7.0,1.2454,1,,,,
rival,7,3.68,1.5043,1,3,1,,
headquarters,4,5.4,1.0102,2,,,,1
strength,2,7.4,1.1606,1,,,,
seeks,2,5.68,0.9988,1,1,,,
avoid,1,3.14,1.578,1,,,,
ground,4,5.26,1.2906,1,,,,1
attacked,3,2.52,1.555,1,,1,1,
san,2,5.02,0.5887,1,,,,
calls,17,5.42,1.0319,2,1,1,1,
data,4,5.7,1.0738,1,,1,,
money,5,7.3,1.8434,1,,,,
rules,7,4.28,1.2296,2,,,,1
muslim,5,4.64,1.6995,1,1,1,,
challenge,4,5.78,1.7177,1,2,,,
ideology,2,5.82,1.4387,1,,,,1
emergency,53,3.06,1.7775,6,5,1,3,4
explosion,4,2.94,1.596,1,,,,
bus,2,5.1,1.2495,1,,,,
social,6,6.22,1.0359,1,1,1,,1
accounts,6,4.96,1.4978,2,,,,1
john,7,5.08,1.1578,1,1,1,,1
bigger,1,6.38,1.3981,1,,,,
push,9,4.44,1.473,1,,1,,
council,4,4.94,1.3157,1,,1,,
resolution,2,6.18,1.2887,2,,,,
combat,1,3.2,1.6782,1,,,,
international,5,6.56,1.2643,1,1,,,
dealt,1,5.1,1.2495,1,,,,
loses,2,2.74,1.2423,1,,,1,
crucial,2,4.52,1.5418,1,,,,
taiwan,9,5.36,1.2739,1,3,1,1,1
flag,1,6.26,1.3063,1,,,,
pin,1,5.1,0.8864,1,,,,
bosnia,2,4.8,1.7023,1,,,1,
supporter,2,6.76,1.2216,1,,1,,
sentenced,6,3.7,1.6568,2,,,,1
planning,5,6.16,1.4619,1,,1,,
meets,12,5.98,1.0971,1,1,,1,
said,11,5.38,0.901,1,2,2,,
printed,1,5.88,0.9613,1,,,,
park,1,7.08,1.3529,1,,,,
private,4,5.92,1.3529,2,,1,,
historian,1,6.06,1.4626,1,,,,
begins,4,5.94,1.1502,1,1,,,
sentence,2,5.22,1.4469,1,,,,1
dinner,5,7.4,1.1429,1,,,,
flavor,1,6.88,1.2229,1,,,,
target,7,5.36,1.5221,1,,,2,1
border,11,4.9,1.488,1,2,,1,1
barely,1,4.24,1.5722,1,,,,
days,5,5.76,1.2382,1,1,,,
turn,2,5.2,1.2454,1,,,,
