word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
hussein,2,3.62,1.8724,1,,,,,
aide,5,5.56,1.4165,2,,,,,1
northern,6,5.22,1.3293,,,,1,2,
fight,12,2.7,1.7409,1,2,2,,,2
washington,11,6.04,1.2115,2,3,1,,1,
post,3,5.48,1.0925,1,,,,,1
writer,1,5.96,1.5381,,,,,,
seen,4,5.4,1.1952,,,1,,1,1
trial,6,3.96,1.6898,,1,1,2,,
ran,1,5.5,1.4604,,,,,,
oil,21,4.88,1.6368,2,,,3,3,2
giant,2,5.34,1.1886,,,,,,1
court,21,3.78,1.799,2,2,2,1,2,
nato,14,4.92,1.7004,1,1,3,5,1,
caps,1,5.36,1.0254,,,,,,
size,2,5.04,0.9681,,1,,,,
mission,3,5.68,1.3468,,1,,1,,
starts,5,5.96,1.1945,,2,,,,
drive,2,6.08,1.5232,1,,,,,
scale,1,4.88,1.3037,,,,,,
differ,1,4.58,1.3415,,,,,,
german,17,5.34,1.394,,3,4,,3,
ships,1,5.96,1.0093,,,,,,
britain,12,5.78,1.8767,1,3,,1,,
ensure,1,6.12,1.3649,,,,,,
taking,2,5.32,1.3005,,1,,,,
lawsuit,7,2.96,1.6157,,1,1,,,1
west,9,5.68,1.3468,1,,,3,4,
bank,6,5.92,1.6268,1,,1,1,2,
doubts,3,3.3,1.4321,,,1,,,
video,10,6.48,1.111,,1,1,2,,1
final,5,5.02,1.7319,,,1,,1,1
moments,1,6.1,1.1112,,,,,,
deep,3,5.74,1.3969,,,,,2,
depression,1,1.98,1.5583,,,,,,
civilians,16,5.64,1.1386,,1,3,1,2,1
share,1,6.78,1.4039,,,,,,
rumors,2,4.08,1.9455,1,,,,,
online,4,6.72,1.2784,,,,,,
lowest,2,3.3,1.165,,1,,,,
weekly,1,5.3,1.594,,,,,,
total,2,5.78,0.9538,1,,,,,
weeks,4,5.06,1.0768,1,1,,1,,
aid,18,6.24,1.3637,1,,,3,6,
relief,5,6.86,1.6037,2,1,,,,
vast,3,5.64,1.5354,,,,,,
damage,6,2.58,1.4995,,1,2,,,
mexican,10,5.4,1.5253,,,1,,1,
fired,2,2.3,1.5682,,,,,,
lady,4,6.6,1.4569,,1,,,1,
failed,7,1.84,0.9971,1,3,,,,1
address,3,5.6,1.0498,,,,1,1,
sign,6,5.66,1.2875,,,4,1,,
distress,1,2.7,1.4178,,,,,,
deaths,20,1.64,1.1386,3,4,2,1,1,
figures,2,5.86,1.1782,,,,1,,
early,9,5.66,1.239,2,3,1,,,1
memo,4,4.88,1.1542,,,,,,
dropped,1,3.88,1.0029,,,,,,
despite,20,4.48,1.3438,3,3,3,2,1,1
views,1,5.92,1.0069,,,,,,
enters,2,6.1,1.2817,1,,,,,
europe,3,6.4,1.7613,,1,,,,1
civilian,7,5.64,1.5354,,,1,,3,
rose,1,7.32,1.463,,,,,,
radio,2,6.58,1.6047,,,1,,,
free,4,7.96,1.261,,,,,,
asia,4,6.22,1.9513,,1,,,,
delays,2,3.44,1.1457,,,,,,1
release,7,6.1,1.233,,,3,1,,1
possible,6,6.24,1.598,,1,2,2,,
bias,1,4.31,1.7278,,,,,,
coverage,4,5.66,1.3188,,,2,,,1
killings,7,1.8,1.5386,,1,2,,,
sentences,5,5.59,1.632,,,,,,
